name,phone,street,city,country,website,description
Auto Gallery,05 57 01 13 24,27 rue claudeville , 33520 BORDEAUX BRUGES , France,http://www.autogallery.fr,"DEPUIS 2006 A BORDEAUX  , SPECIALISTE DE L AUTOMOBILE DE PRESTIGE ET DE COLLECTION . PLUS DE 100 VEHICULE EN STOCK , VISIBLES SUR RDV . WWW.AUTOGALLERY.FR"
Auto Legend Cannes,06 76 21 60 95,cannes, 06400 cannes, France,http://www.autolegend-cannes.com,"Passionnée d'automobiles avant tout ! Membre du club Passion Automobile de Nice.Vente assistée d'automobiles de collectionRecherche… > lire la suite PersonnaliséeConseils et recommandations ( restauration, entretien)"
Auto Légende Manufacture,06 07 81 61 83,37 RUE DU VIEUX BOURG , 45700 VILLEMANDEUR, France,http://www.autolegendemanufacture.fr,Mécanique - Entretien - Restauration - Vente et Dépôt vente de véhicules historiques
Auto Passion 07,04 75 35 58 46,ZI Bois Redon, 07170 Lavilledieu, France,http://www.autopassion07.com,"A votre service depuis 1987 Alain MACHARD est spécialisé dans la vente de véhicules en tout genre et notamment de sport, de prestige ou de collection.Il met toute son expérience à votre disposition pour vous conseiller sur le choix de votre future acquisition et la rechercher pour… > lire la suite vous.Mais Alain MACHARD c’est aussi plus de trente ans de compétition motocycliste et automobile (circuits, rallyes) et d’amour pour les belles mécaniques : autant de passions à partager…"
Auto rétro des Monts d'Or,06 79 20 19 98,, 42120 Le Coteau, France,http://www.autopassion07.com,"achat vente et depot vente de citroen DS , SM, CX , XM et toutes citroen d exception depuis 2000"
Auto Rétro Mécanique,02.40.05.94.48,, 44310 St Colomban, France,http://www.garage-gauvrit.fr,"Achat/Vente, restauration de véhicules de collection"
Auto Rétro Passion,04 90 15 04 11,9 rue Jean Deurrieu, ZA Sagnon , 13690 Graveson ,http://autoretropassion.fr,"Entretien, réparation & restauration de véhicules anciensNous prenons en charge l’entretien et la réparation de tous véhicules anciens.Au sein de notre atelier, nos mécaniciens qualifiés et expérimentés mettent tout leur savoir-faire et leur technicité à… > lire la suite votre service : réparation/rénovation moteur et boite de vitesse. Contrairement aux enseignes classiques qui remplacent les pièces défectueuses, nous préférons les réparer.Voici ce que notre équipe mécanique peut faire pour vous : Diagnostic, Entretien, Réparation, Réglage, Restauration, Montage /équilibrage pneus, Géométrie...Notre équipe Auto Retro Passion est disponible pour toutes questions relatives à la réparation de votre véhicule de collection."
Auto-Baléares,04 68 54 49 80,17 RUE VALENTIN MAGNAN - ROND-POINT DES BALEARES, 66000 PERPIGNAN, France,http://www.auto-baleares.com,"Depuis 1987, Thierry DEPRAUW,passionné d'automobile depuis toujours, a le plaisir de vous proposer sa sélection de voitures de prestige ou de vous dénicher la perle rare, la voiture d'exception ou de collection.Fort de son expérience et de ses compétences, il vous propose PORSCHE, FERRARI, MASERATI, LAMBORGHINI, JAGUAR, BENTLEY, BMW, MERCEDES, AUDI, ASTON… > lire la suite MARTIN...Vous recherchez un véhicule neuf ou d'occasion ? Confiez-nous votre recherche."
Auto-sur,04 68 54 49 80,, 87000 Limoges, France,http://www.auto-baleares.com,"Depuis 1987, Thierry DEPRAUW,passionné d'automobile depuis toujours, a le plaisir de vous proposer sa sélection de voitures de prestige ou de vous dénicher la perle rare, la voiture d'exception ou de collection.Fort de son expérience et de ses compétences, il vous propose PORSCHE, FERRARI, MASERATI, LAMBORGHINI, JAGUAR, BENTLEY, BMW, MERCEDES, AUDI, ASTON… > lire la suite MARTIN...Vous recherchez un véhicule neuf ou d'occasion ? Confiez-nous votre recherche."
Autodrome Cannes,+33 (0)4 92 99 19 00,28 Bd de Lorraine, 06400 Cannes, France,http://www.autodrome-cannes.com,"L'activité d' AUTODROME est centrée sur l'automobile classique, et fondée sur une relation durable avec ceux qui partagent notre passion.Nous prenons en charge l'achat et la vente de très belles automobiles, pas nécessairement très coûteuses, mais dont la plupart représentent un sommet dans leur domaine, en qualité, en beauté, en importance… > lire la suite historique.Notre philosophie est immuable, choisir comme pour nous-mêmes, toujours proposer la meilleure automobile au meilleur prix, pour chaque modèle mis en vente. Cette sélection rigoureuse s'appuie sur un jugement sûr, et une très longue expérience. Les clients d' AUTODROME nous en sont reconnaissants  depuis près de trente ans. "
